date,source,region_level,region,event_type,value,notes,source_code
2020-01-01,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-01,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-01,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-01,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-01,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-01,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-01,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-01,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-01,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-01,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-01,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-01,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-01,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-01,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-02,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-02,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-02,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-02,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-02,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-02,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-02,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-02,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-02,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-02,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-02,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-02,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-02,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-02,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-03,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-03,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-03,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-03,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-03,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-03,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-03,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-03,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-03,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-03,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-03,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-03,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-03,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-03,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-04,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-04,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-04,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-04,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-04,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-04,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-04,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-04,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-04,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-04,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-04,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-04,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-04,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-04,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-05,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-05,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-05,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-05,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-05,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-05,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-05,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-05,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-05,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-05,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-05,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-05,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-05,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-05,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-06,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-06,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-06,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-06,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-06,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-06,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-06,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-06,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-06,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-06,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-06,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-06,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-06,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-06,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-07,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-07,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-07,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-07,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-07,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-07,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-07,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-07,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-07,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-07,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-07,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-07,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-07,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-07,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-08,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-08,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-08,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-08,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-08,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-08,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-08,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-08,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-08,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-08,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-08,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-08,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-08,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-08,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-09,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-09,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-09,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-09,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-09,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-09,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-09,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-09,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-09,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-09,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-09,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-09,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-09,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-09,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-10,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-10,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-10,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-10,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-10,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
2020-01-10,OxCGRT,country,Finland,international_travel,0,,C8EV_International travel controls
2020-01-10,OxCGRT,country,Finland,public_events,0,,C3M_Cancel public events
2020-01-10,OxCGRT,country,Finland,public_information,0,,H1_Public information campaigns
2020-01-10,OxCGRT,country,Finland,public_transport,0,,C5M_Close public transport
2020-01-10,OxCGRT,country,Finland,school_closing,0,,C1M_School closing
2020-01-10,OxCGRT,country,Finland,stay_at_home,0,,C6M_Stay at home requirements
2020-01-10,OxCGRT,country,Finland,testing_policy,0,,H2_Testing policy
2020-01-10,OxCGRT,country,Finland,vaccination_policy,0,,H7_Vaccination policy
2020-01-10,OxCGRT,country,Finland,workplace_closing,0,,C2M_Workplace closing
2020-01-11,OxCGRT,country,Finland,contact_tracing,0,,H3_Contact tracing
2020-01-11,OxCGRT,country,Finland,elderly_protection,0,,H8M_Protection of elderly people
2020-01-11,OxCGRT,country,Finland,facial_coverings,0,,H6M_Facial Coverings
2020-01-11,OxCGRT,country,Finland,gathering_restrictions,0,,C4M_Restrictions on gatherings
2020-01-11,OxCGRT,country,Finland,internal_movement,0,,C7M_Restrictions on internal movement
