Time;Area;val
2020-01-01;Åland;
2020-01-02;Åland;
2020-01-03;Åland;
2020-01-04;Åland;
2020-01-05;Åland;
2020-01-06;Åland;
2020-01-07;Åland;
2020-01-08;Åland;
2020-01-09;Åland;
2020-01-10;Åland;
2020-01-11;Åland;
2020-01-12;Åland;
2020-01-13;Åland;
2020-01-14;Åland;
2020-01-15;Åland;
2020-01-16;Åland;
2020-01-17;Åland;
2020-01-18;Åland;
2020-01-19;Åland;
2020-01-20;Åland;
2020-01-21;Åland;
2020-01-22;Åland;
2020-01-23;Åland;
2020-01-24;Åland;
2020-01-25;Åland;
2020-01-26;Åland;
2020-01-27;Åland;
2020-01-28;Åland;
2020-01-29;Åland;
2020-01-30;Åland;
2020-01-31;Åland;
2020-02-01;Åland;
2020-02-02;Åland;
2020-02-03;Åland;
2020-02-04;Åland;
2020-02-05;Åland;
2020-02-06;Åland;
2020-02-07;Åland;
2020-02-08;Åland;
2020-02-09;Åland;0
2020-02-10;Åland;0
2020-02-11;Åland;0
2020-02-12;Åland;0
2020-02-13;Åland;0
2020-02-14;Åland;0
2020-02-15;Åland;0
2020-02-16;Åland;0
2020-02-17;Åland;0
2020-02-18;Åland;0
2020-02-19;Åland;0
2020-02-20;Åland;0
2020-02-21;Åland;0
2020-02-22;Åland;0
2020-02-23;Åland;0
2020-02-24;Åland;0
2020-02-25;Åland;0
2020-02-26;Åland;0
2020-02-27;Åland;0
2020-02-28;Åland;0
2020-02-29;Åland;0
2020-03-01;Åland;0
2020-03-02;Åland;0
2020-03-03;Åland;0
2020-03-04;Åland;0
2020-03-05;Åland;0
2020-03-06;Åland;0
2020-03-07;Åland;0
2020-03-08;Åland;0
2020-03-09;Åland;0
2020-03-10;Åland;0
2020-03-11;Åland;0
2020-03-12;Åland;0
2020-03-13;Åland;0
2020-03-14;Åland;0
2020-03-15;Åland;0
2020-03-16;Åland;0
2020-03-17;Åland;0
2020-03-18;Åland;0
2020-03-19;Åland;2
2020-03-20;Åland;0
2020-03-21;Åland;2
2020-03-22;Åland;1
2020-03-23;Åland;0
2020-03-24;Åland;2
2020-03-25;Åland;0
2020-03-26;Åland;0
2020-03-27;Åland;0
2020-03-28;Åland;0
2020-03-29;Åland;0
2020-03-30;Åland;0
2020-03-31;Åland;0
2020-04-01;Åland;0
2020-04-02;Åland;1
2020-04-03;Åland;0
2020-04-04;Åland;0
2020-04-05;Åland;0
2020-04-06;Åland;0
2020-04-07;Åland;0
2020-04-08;Åland;1
2020-04-09;Åland;0
2020-04-10;Åland;1
2020-04-11;Åland;0
2020-04-12;Åland;0
2020-04-13;Åland;0
2020-04-14;Åland;0
2020-04-15;Åland;0
2020-04-16;Åland;0
2020-04-17;Åland;0
2020-04-18;Åland;0
2020-04-19;Åland;0
2020-04-20;Åland;0
2020-04-21;Åland;1
2020-04-22;Åland;0
2020-04-23;Åland;0
2020-04-24;Åland;0
2020-04-25;Åland;0
2020-04-26;Åland;0
2020-04-27;Åland;0
2020-04-28;Åland;0
2020-04-29;Åland;0
2020-04-30;Åland;0
2020-05-01;Åland;0
2020-05-02;Åland;0
2020-05-03;Åland;0
2020-05-04;Åland;0
2020-05-05;Åland;0
2020-05-06;Åland;0
2020-05-07;Åland;0
2020-05-08;Åland;0
2020-05-09;Åland;0
2020-05-10;Åland;0
2020-05-11;Åland;0
2020-05-12;Åland;0
2020-05-13;Åland;0
2020-05-14;Åland;0
2020-05-15;Åland;0
2020-05-16;Åland;0
2020-05-17;Åland;0
2020-05-18;Åland;0
2020-05-19;Åland;0
2020-05-20;Åland;0
2020-05-21;Åland;0
2020-05-22;Åland;0
2020-05-23;Åland;1
2020-05-24;Åland;0
2020-05-25;Åland;0
2020-05-26;Åland;1
2020-05-27;Åland;0
2020-05-28;Åland;0
2020-05-29;Åland;0
2020-05-30;Åland;0
2020-05-31;Åland;0
2020-06-01;Åland;1
2020-06-02;Åland;0
2020-06-03;Åland;0
2020-06-04;Åland;0
2020-06-05;Åland;2
2020-06-06;Åland;0
2020-06-07;Åland;0
2020-06-08;Åland;1
2020-06-09;Åland;1
2020-06-10;Åland;0
2020-06-11;Åland;0
2020-06-12;Åland;0
2020-06-13;Åland;0
2020-06-14;Åland;0
2020-06-15;Åland;0
2020-06-16;Åland;0
2020-06-17;Åland;0
2020-06-18;Åland;0
2020-06-19;Åland;0
2020-06-20;Åland;0
2020-06-21;Åland;0
2020-06-22;Åland;0
2020-06-23;Åland;0
2020-06-24;Åland;1
2020-06-25;Åland;0
2020-06-26;Åland;0
2020-06-27;Åland;0
2020-06-28;Åland;0
2020-06-29;Åland;0
2020-06-30;Åland;0
2020-07-01;Åland;0
2020-07-02;Åland;0
2020-07-03;Åland;0
2020-07-04;Åland;0
2020-07-05;Åland;0
2020-07-06;Åland;0
2020-07-07;Åland;0
2020-07-08;Åland;0
2020-07-09;Åland;0
2020-07-10;Åland;0
2020-07-11;Åland;0
2020-07-12;Åland;0
2020-07-13;Åland;0
2020-07-14;Åland;0
2020-07-15;Åland;0
2020-07-16;Åland;0
2020-07-17;Åland;0
2020-07-18;Åland;0
2020-07-19;Åland;1
2020-07-20;Åland;0
2020-07-21;Åland;0
2020-07-22;Åland;0
2020-07-23;Åland;0
2020-07-24;Åland;0
2020-07-25;Åland;0
2020-07-26;Åland;0
2020-07-27;Åland;0
2020-07-28;Åland;0
2020-07-29;Åland;0
2020-07-30;Åland;0
2020-07-31;Åland;0
2020-08-01;Åland;0
2020-08-02;Åland;0
2020-08-03;Åland;0
2020-08-04;Åland;0
2020-08-05;Åland;0
2020-08-06;Åland;0
2020-08-07;Åland;0
2020-08-08;Åland;0
2020-08-09;Åland;0
2020-08-10;Åland;0
2020-08-11;Åland;0
2020-08-12;Åland;0
2020-08-13;Åland;0
2020-08-14;Åland;0
2020-08-15;Åland;0
2020-08-16;Åland;0
2020-08-17;Åland;0
2020-08-18;Åland;1
2020-08-19;Åland;0
2020-08-20;Åland;0
2020-08-21;Åland;0
2020-08-22;Åland;0
2020-08-23;Åland;0
2020-08-24;Åland;0
2020-08-25;Åland;0
2020-08-26;Åland;0
2020-08-27;Åland;0
2020-08-28;Åland;0
2020-08-29;Åland;0
2020-08-30;Åland;0
2020-08-31;Åland;0
2020-09-01;Åland;0
2020-09-02;Åland;0
2020-09-03;Åland;0
2020-09-04;Åland;0
2020-09-05;Åland;0
2020-09-06;Åland;0
2020-09-07;Åland;0
2020-09-08;Åland;0
2020-09-09;Åland;0
2020-09-10;Åland;0
2020-09-11;Åland;0
2020-09-12;Åland;0
2020-09-13;Åland;0
2020-09-14;Åland;0
2020-09-15;Åland;0
2020-09-16;Åland;0
2020-09-17;Åland;0
2020-09-18;Åland;0
2020-09-19;Åland;0
2020-09-20;Åland;1
2020-09-21;Åland;0
2020-09-22;Åland;0
2020-09-23;Åland;0
2020-09-24;Åland;0
2020-09-25;Åland;0
2020-09-26;Åland;0
2020-09-27;Åland;0
2020-09-28;Åland;0
2020-09-29;Åland;0
2020-09-30;Åland;0
2020-10-01;Åland;0
2020-10-02;Åland;0
2020-10-03;Åland;0
2020-10-04;Åland;0
2020-10-05;Åland;0
2020-10-06;Åland;1
2020-10-07;Åland;0
2020-10-08;Åland;2
2020-10-09;Åland;0
2020-10-10;Åland;1
2020-10-11;Åland;1
2020-10-12;Åland;0
2020-10-13;Åland;0
2020-10-14;Åland;0
2020-10-15;Åland;0
2020-10-16;Åland;0
2020-10-17;Åland;0
2020-10-18;Åland;1
2020-10-19;Åland;0
2020-10-20;Åland;6
2020-10-21;Åland;0
2020-10-22;Åland;1
2020-10-23;Åland;0
2020-10-24;Åland;0
2020-10-25;Åland;0
2020-10-26;Åland;1
2020-10-27;Åland;0
2020-10-28;Åland;2
2020-10-29;Åland;0
2020-10-30;Åland;0
2020-10-31;Åland;0
2020-11-01;Åland;2
2020-11-02;Åland;3
2020-11-03;Åland;0
2020-11-04;Åland;0
2020-11-05;Åland;0
2020-11-06;Åland;0
2020-11-07;Åland;0
2020-11-08;Åland;0
2020-11-09;Åland;0
2020-11-10;Åland;0
2020-11-11;Åland;0
2020-11-12;Åland;0
2020-11-13;Åland;0
2020-11-14;Åland;0
2020-11-15;Åland;0
2020-11-16;Åland;2
2020-11-17;Åland;0
2020-11-18;Åland;0
2020-11-19;Åland;1
2020-11-20;Åland;0
2020-11-21;Åland;0
2020-11-22;Åland;0
2020-11-23;Åland;0
2020-11-24;Åland;0
2020-11-25;Åland;0
2020-11-26;Åland;1
2020-11-27;Åland;0
2020-11-28;Åland;1
2020-11-29;Åland;0
2020-11-30;Åland;0
2020-12-01;Åland;0
2020-12-02;Åland;0
2020-12-03;Åland;0
2020-12-04;Åland;0
2020-12-05;Åland;0
2020-12-06;Åland;3
2020-12-07;Åland;0
2020-12-08;Åland;1
2020-12-09;Åland;3
2020-12-10;Åland;0
2020-12-11;Åland;1
2020-12-12;Åland;0
2020-12-13;Åland;1
2020-12-14;Åland;5
2020-12-15;Åland;2
2020-12-16;Åland;1
2020-12-17;Åland;1
2020-12-18;Åland;2
2020-12-19;Åland;0
2020-12-20;Åland;7
2020-12-21;Åland;0
2020-12-22;Åland;12
2020-12-23;Åland;1
2020-12-24;Åland;5
2020-12-25;Åland;2
2020-12-26;Åland;0
2020-12-27;Åland;4
2020-12-28;Åland;0
2020-12-29;Åland;1
2020-12-30;Åland;1
2020-12-31;Åland;5
2021-01-01;Åland;1
2021-01-02;Åland;0
2021-01-03;Åland;71
2021-01-04;Åland;2
2021-01-05;Åland;0
2021-01-06;Åland;2
2021-01-07;Åland;1
2021-01-08;Åland;0
2021-01-09;Åland;0
2021-01-10;Åland;1
2021-01-11;Åland;1
2021-01-12;Åland;0
2021-01-13;Åland;1
2021-01-14;Åland;0
2021-01-15;Åland;0
2021-01-16;Åland;0
2021-01-17;Åland;1
2021-01-18;Åland;0
2021-01-19;Åland;0
2021-01-20;Åland;0
2021-01-21;Åland;1
2021-01-22;Åland;0
2021-01-23;Åland;0
2021-01-24;Åland;1
2021-01-25;Åland;0
2021-01-26;Åland;0
2021-01-27;Åland;1
2021-01-28;Åland;0
2021-01-29;Åland;0
2021-01-30;Åland;6
2021-01-31;Åland;0
2021-02-01;Åland;0
2021-02-02;Åland;2
2021-02-03;Åland;0
2021-02-04;Åland;0
2021-02-05;Åland;0
2021-02-06;Åland;0
2021-02-07;Åland;0
2021-02-08;Åland;1
2021-02-09;Åland;0
2021-02-10;Åland;0
2021-02-11;Åland;1
2021-02-12;Åland;0
2021-02-13;Åland;0
2021-02-14;Åland;1
2021-02-15;Åland;4
2021-02-16;Åland;8
2021-02-17;Åland;13
2021-02-18;Åland;14
2021-02-19;Åland;8
2021-02-20;Åland;9
2021-02-21;Åland;5
2021-02-22;Åland;7
2021-02-23;Åland;11
2021-02-24;Åland;13
2021-02-25;Åland;12
2021-02-26;Åland;10
2021-02-27;Åland;8
2021-02-28;Åland;9
2021-03-01;Åland;8
2021-03-02;Åland;16
2021-03-03;Åland;9
2021-03-04;Åland;3
2021-03-05;Åland;6
2021-03-06;Åland;0
2021-03-07;Åland;2
2021-03-08;Åland;3
2021-03-09;Åland;9
2021-03-10;Åland;3
2021-03-11;Åland;0
2021-03-12;Åland;2
2021-03-13;Åland;0
2021-03-14;Åland;2
2021-03-15;Åland;0
2021-03-16;Åland;1
2021-03-17;Åland;0
2021-03-18;Åland;0
2021-03-19;Åland;0
2021-03-20;Åland;0
2021-03-21;Åland;0
2021-03-22;Åland;0
2021-03-23;Åland;4
2021-03-24;Åland;1
2021-03-25;Åland;2
2021-03-26;Åland;0
2021-03-27;Åland;0
2021-03-28;Åland;0
2021-03-29;Åland;0
2021-03-30;Åland;1
2021-03-31;Åland;1
2021-04-01;Åland;1
2021-04-02;Åland;0
2021-04-03;Åland;0
2021-04-04;Åland;1
2021-04-05;Åland;4
2021-04-06;Åland;2
2021-04-07;Åland;4
2021-04-08;Åland;0
2021-04-09;Åland;0
2021-04-10;Åland;1
2021-04-11;Åland;3
2021-04-12;Åland;7
2021-04-13;Åland;4
2021-04-14;Åland;4
2021-04-15;Åland;4
2021-04-16;Åland;0
2021-04-17;Åland;1
2021-04-18;Åland;3
2021-04-19;Åland;5
2021-04-20;Åland;2
2021-04-21;Åland;1
2021-04-22;Åland;0
2021-04-23;Åland;0
2021-04-24;Åland;0
2021-04-25;Åland;1
2021-04-26;Åland;0
2021-04-27;Åland;1
2021-04-28;Åland;0
2021-04-29;Åland;1
2021-04-30;Åland;0
2021-05-01;Åland;0
2021-05-02;Åland;0
2021-05-03;Åland;0
2021-05-04;Åland;2
2021-05-05;Åland;1
2021-05-06;Åland;0
2021-05-07;Åland;0
2021-05-08;Åland;0
2021-05-09;Åland;0
2021-05-10;Åland;0
2021-05-11;Åland;0
2021-05-12;Åland;0
2021-05-13;Åland;0
2021-05-14;Åland;0
2021-05-15;Åland;1
2021-05-16;Åland;0
2021-05-17;Åland;0
2021-05-18;Åland;0
2021-05-19;Åland;0
2021-05-20;Åland;3
2021-05-21;Åland;0
2021-05-22;Åland;0
2021-05-23;Åland;0
2021-05-24;Åland;0
2021-05-25;Åland;0
2021-05-26;Åland;0
2021-05-27;Åland;0
2021-05-28;Åland;0
2021-05-29;Åland;0
2021-05-30;Åland;0
2021-05-31;Åland;0
2021-06-01;Åland;0
2021-06-02;Åland;0
2021-06-03;Åland;0
2021-06-04;Åland;0
2021-06-05;Åland;0
2021-06-06;Åland;0
2021-06-07;Åland;1
2021-06-08;Åland;0
2021-06-09;Åland;1
2021-06-10;Åland;0
2021-06-11;Åland;0
2021-06-12;Åland;0
2021-06-13;Åland;0
2021-06-14;Åland;1
2021-06-15;Åland;0
2021-06-16;Åland;0
2021-06-17;Åland;0
2021-06-18;Åland;0
2021-06-19;Åland;0
2021-06-20;Åland;0
2021-06-21;Åland;0
2021-06-22;Åland;0
2021-06-23;Åland;0
2021-06-24;Åland;1
2021-06-25;Åland;0
2021-06-26;Åland;0
2021-06-27;Åland;0
2021-06-28;Åland;0
2021-06-29;Åland;0
2021-06-30;Åland;1
2021-07-01;Åland;0
2021-07-02;Åland;0
2021-07-03;Åland;0
2021-07-04;Åland;0
2021-07-05;Åland;0
2021-07-06;Åland;0
2021-07-07;Åland;0
2021-07-08;Åland;0
2021-07-09;Åland;0
2021-07-10;Åland;0
2021-07-11;Åland;1
2021-07-12;Åland;2
2021-07-13;Åland;0
2021-07-14;Åland;0
2021-07-15;Åland;0
2021-07-16;Åland;0
2021-07-17;Åland;0
2021-07-18;Åland;0
2021-07-19;Åland;0
2021-07-20;Åland;3
2021-07-21;Åland;0
2021-07-22;Åland;0
2021-07-23;Åland;0
2021-07-24;Åland;2
2021-07-25;Åland;5
2021-07-26;Åland;5
2021-07-27;Åland;3
2021-07-28;Åland;7
2021-07-29;Åland;8
2021-07-30;Åland;2
2021-07-31;Åland;5
2021-08-01;Åland;3
2021-08-02;Åland;4
2021-08-03;Åland;2
2021-08-04;Åland;4
2021-08-05;Åland;3
2021-08-06;Åland;2
2021-08-07;Åland;1
2021-08-08;Åland;7
2021-08-09;Åland;0
2021-08-10;Åland;1
2021-08-11;Åland;1
2021-08-12;Åland;3
2021-08-13;Åland;1
2021-08-14;Åland;0
2021-08-15;Åland;0
2021-08-16;Åland;0
2021-08-17;Åland;1
2021-08-18;Åland;0
2021-08-19;Åland;0
2021-08-20;Åland;0
2021-08-21;Åland;0
2021-08-22;Åland;0
2021-08-23;Åland;0
2021-08-24;Åland;1
2021-08-25;Åland;1
2021-08-26;Åland;0
2021-08-27;Åland;0
2021-08-28;Åland;0
2021-08-29;Åland;0
2021-08-30;Åland;0
2021-08-31;Åland;0
2021-09-01;Åland;1
2021-09-02;Åland;0
2021-09-03;Åland;1
2021-09-04;Åland;0
2021-09-05;Åland;0
2021-09-06;Åland;1
2021-09-07;Åland;0
2021-09-08;Åland;0
2021-09-09;Åland;1
2021-09-10;Åland;0
2021-09-11;Åland;0
2021-09-12;Åland;0
2021-09-13;Åland;0
2021-09-14;Åland;0
2021-09-15;Åland;0
